hatespeech,index
التوفيق شاء,0
التوفيق لكهو الاطار العامل البعض لباقي الوزارات المؤسات الاقصى الاقصى عدى اصابت اسوء مليار,0
التوفيق لكهو امثالكهوكل الفريق المتربصين ومخالب الامانة الثقيلة,0
التوكل والتوفيق,0
التونسين,1
التونسين انشقا الحاكم الدينار يز انجح الميوع,1
التونيسار تخص لاجلاء الجالية العالقة بامريكا الشمالية وكندا,0
التويجات,0
الثعلب,1
الثعلب العينين والعينين الدهن,1
الثعلب يحشى,0
الثقة الكاملة ملتزمة والي,0
الثقة بالتوفيق,0
الثورة رينا العجب,1
الثورة يقشعر البدن يزيو الريق لامراة,1
الثيق,0
الجاااست بكاوني الهموم,0
الجابو,1
الجاهل,1
الجاهل المتكلم منهجه منهج التكفير نكذب,1
الجاهل المستك يتحدث اتفوه القحبة وصرم العاهرة تلقى المجلات شاء يعور جااااهل,1
الجائزة,0
الجبالي بصاص,1
الجبالي هاي,1
الجحيم متثقف,1
الجراة العرااء وقلة,1
الجرب,1
الجزار القرض شنوة دورو جاوبونا نفهمو,0
الجزائرب اشد معجبين بالحوار رائع,0
الجزائرب اشد معجبين بالحوار مسللسل رائع,0
الجزايري,0
الجزيري برودوي ٪ وتبلعيط,1
الجزيري راني انيق,0
الجزيري كتسمعو تسمعو المعنى للنفاق ايه مفضوح,1
الجزيري وهراني انيق,0
الجلاصي,1
الجملة,0
الجمهور منسمعوكش مرزنك,1
الجميلات الموهوبات قليلات الاحترام,0
الجميلات وبات قليلات الاحترام,0
الجنرال تصفقش,0
الجنرال وجودك يطمني كمواطن,0
الجنرال وجودك يطمني كمواطن بسيطربي,0
الجنسية الكندية العودة الرجاء الدخول تسجيل بيانات تمنح بقيمة لزوم السفر يسد مراحل,0
الجنيرال الصادقين تونسنا العزيزة,0
الجنيرال دامت نجاحاتك سد خطواتك,0
الجهاد,0
الجهل,1
الجهل الاعلى حكى علها فرويد ايسلم قرايتك فضحتنا ههههههه,1
الجهل التقوعير الصبر,1
الجهل عينه زده,1
الجوائز لانو الكومدين,0
الجولان,0
الجولان يلزمو بالعكس لعشية,0
الحاجات يظحكوش ماتحترمش ارقى زادتك حقرة تقزيم ةما يعطيوك الصباب هاكي حقيقتك,1
الحاجات يظحكوش يعطيوك الصباب هاكي حقيقتك,1
الحاجة الوحيدة نقولهالك الارحام خنثة هالرهوط,1
الحاذقة,0
الحاسه,1
الحاصل,1
الحاصيلو ماسط,1
الحثالا,1
الحثالات,1
الحجاب البنية,0
الحجرة القحبة,1
الحديدية احبها فالله,0
الحديدية احبها فاله,0
الحذر الحذر اخواني اواخر علامات استرنا اخوانا الاسبانية,0
الحركة حثيثة وبدا يتوجسون الخطر,0
الحسود قنفود,0
الحشمة زيڨو,1
الحشوات,1
الحشيش,0
الحضارة والعدوى,0
الحضور مدروس حساب خدمتكم وداتكم تركيزكم اتصالية موحدة اضحة جزء وفقكم,0
الحضور مدروس حساب خدمتكم وداتكم تركيزكم الميداني استراتيجية اتصالية موحدة اضحة جزء وفقكم,0
الحظ,1
الحقارة والنذالة والسفالة,1
الحقل سيرفع الغاز تخفيض عجزنا المحروقات بحوالي,0
الحقوقي,1
الحقوقيين السخفاء البهايم نثل سامية راجلها حقهم الاعدامماهلكاها هوم,1
الحقيقى العطاء التضحية يشفيلو بنتو الصبر,0
الحقيقية اشبا,0
الحقيقية اشباه,0
الحكام واعوان ورؤوس الاموال,0
الحلب,0
الحلقات حلوين,0
الحلقات ميمتك يفرحك كيما فرحت بنيتها,0
الحلقه حلوه,0
الحلوفة تورق,0
الحماية المدنية,0
الحمدله,1
الحملة الانتخابية جهار تهز الطحين,1
الحملةدليل نجاح تقومون يحمي,0
الحميد,0
الحميد سنين ريناكش نهارة جابوك تندم القنوات ناوين يجيبوك يظهرلي تغيب سنين,1
الحناك عاملك قيمة,1
الحنة طيحو,1
الحوارالتونسي,1
الحوت الحوت,0
الحياه طحن هرب يكشف عجبتكمش بلعصا,1
الحيه,1
الخالق,0
الخرى,0
الخطاتدخولات ماسط,1
الخطاتدخولاتو ماسطة ميولاتو نحيوه يشوه يلزنا نبدلو مانسمعوهش,1
الخطر والتفكير المصلحةالعامة,0
الخطر يهد يحفظنا العالمين,0
الخفاش قفراش المهرج رجعهونا شخصية,1
الخلصي الترجي حبيتوا,0
الخلصي ثقافة واخلاق وخلق فخرلتونس طلعتلنا المورال,0
الخلصي معذب الهمعلم نقطة وارجع لسطر,0
الخماج,1
الخمج,1
الخمج الخمج,1
الخمج والسكر التونسيه,1
الخمج يربحكم,1
الخمسة حالات ولاية,0
الخنار للتونسي ايحلوها يندبهم ايجبلك موضوع وبعدها ايقولك منين الشفاعة اقسم ياامة جهلها الامم,1
الخوف الاصابة يقرب,0
الخوف المجهول ربما لعودت,0
الخوف يصيبنا كتب مفمش اجال,0
الخيت,1
الدخلة الضحكة,0
الدراسة زيادة قضى فترة السجن,0
الدرجة حشمة خساره,1
الدرجة صعيبة سامحني فاطمة,0
الدرويش يخلق يتهكم مكروه تفكيرك,1
الدعن والمساند,0
الدقة العلمية سلاسة الغة وضوح,0
الدقة العلمية سلاسة الهغة وضوح,0
الدڨل دڨل والعلي,1
الدڨلة دڨلة والعليڨ عليڨ تفهموه,1
الدلاجي,0
الدلاجي شاعر والكبير مايطيحش,0
الدلاجي عالفلوس ابيع دارهم,1
الدلاجي يغلط,0
الدواعيش واتباعهم حسبنا الدواعيش,1
الدوانة,1
الديك الخيال,0
الديك حفلها منور منور تنورنا سوسه,0
الديك كريزمة فريد,0
الديك لبلاتو وعلی البيبليك احلی,0
الديك منور راكهو احلى ماسمعت,0
الديك منور وصوتك احلى حفلت نحبك,0
الديك يامعذب اناقة ابداع,0
الديك يامعذبهم اناقة ابداع,0
الديكهو حفل منور منور تنورنا,0
الدينار طايح عالحديدة والكلها موضوعها,1
الديوت,1
الديوث,1
الديوث عديمي الكرامة قحاب وله لقتلة بدون عزة,1
الذكورا,1
الرءوس والفخفاخ,1
الرابطة,0
الراحة لتستطيع اكمال المشوار,0
الراية ذكروا اختلفنا تضامنا دفاع وجودنا تصرفوا الاساس ذكروا الراية,0
الرايس,0
الرائع,0
الربح المادي اعانكم سيادة الماكرين,0
الربوخ,0
الربي امسط قبلها,1
الرتابة الاحيان التفاهة ماعدش,1
الرجاء التقليص الحضور الاعلامي تخصيص لزيارة,0
الرجاء التكنولوجيا المشاريع الذكية,0
الرجاء الطلب الرقم,0
الرجاء تكثيف توزر السائق ايابا لتوصيل,0
الرجاء تلقاو نتيجة تحليلو لقدر صحتو اشراف الطبة ويزيد نتفاداو لمقربين,0
الرجاء توجي قرارات تمويلات لفائدة لايخفى المزري,0
الرجاء مدنا باشخاص لانهم اجمعين والتامل نحوى الافضل,0
الرجاء مدنا باشخاص ؤلاء اجمعين والتامل نحوى الافضل,0
الرجاء مدنا بالاجراءات بالنظر لدور,0
الرجلة,0
الرجولة,0
الرحمن,0
الرخص,1
الرخيص,0
الردع والفرعنة,0
الرذائل خصال للحياء للاخلاق للقلب الطبيعة ركبها نكراء تعافها البهائم والحيوانات يغضب عروقك يضيق الفضاء السماء اابلاء وطريقا,1
الرذائل خصال للحياء للاخلاق للقلب الطبيعة ركبها وجلبل نكراء تعافها البهائم والحيوانات,1
الرز السمك لمة نحس جوفو محد للرقابة يبطلو الاوامر,1
الرسمية لوزارة,0
الرعاع وسقط المتاع,1
الرعية بالنية الصافية,0
الرقاصة يدلي بدلوه شان عاهرة,1
الرقم,0
الرقي التطور المعالي الاخلاقية والحضارية والتربوية تتخبط والانحطاط والانحلال بفسق بابعاده سيكون جيل حاذق يشاهد وقذارة سينما وسفالة يبثون,1
الرهدان,1
الرهوط,1
الروبوت يساهم مواجة,0
الروبوت يساهم مواجهة,0
الروتين القاتل نسيبتي العزيزة طابع ودخلت والمرة بطولة وجيهة الجندوبي المساطه بهالدور مسيرتك,1
الريس,0
الريس ايها الابله يجيني,1
الزامل المغاربة نصومو القحبة,1
الزائد,1
الزب,1
الزبلة,1
الزبلة لميناها,1
الزطل,1
الزعيم المناسباهذا وسوف بفضل نخرجوا محنة باقل,0
الزلم,1
الزلم للبلاطو طخانةوقوادة,1
الزمان,1
الزناطير امصت,1
الزنوج وفرنسا المجرمة,1
الزنى,1
الزواولة,0
الزيت بالعين,0
الزين العينين والعينين السمر,0
الزين العينين والعينين السمره,0
الزين الهي بيش ياخو,0
الزين بيش ياخوها,0
السابعة الهي اسعاف لانعاش ورفضوا فحصها ماتموت,0
الساتر الودود,0
الساحات والحدائق والطرقات,0
الساحة بودنك,1
السارق تقطع يده فعلنا عبره عدد السراق الدمقراطيه متاعنا تحمي,1
الساقين,1
السايب والتبذير والسيارات الادارية والمنح المجحفة ريات الزايدة يكركر الفسفاط بكماين لوالب قلبية فاسدة,0
السايب والتبذير والسيارات الادارية والمنح المجحفة والشهريات الزايدة يكركر الفسفاط بكماين لوالب قلبية فاسدة,0
السباقة ثقافة البلبلة التشكيك المدني تبث قانونية بالفوضى العبث يتمعش النوع,0
السبل انتشار فيءة,0
الستاتي تكتب بخطا المرة الاولى,0
الستار شاء,0
السجن ومعزول,0
السفير,0
السم والرهج خماج بالهم بالل حاسبهم,1
السماح بدخول والعمل غلق والجوية صرامة اساس تطبيق مبدا حماية المصلحة العامة,0
السمري,0
السمعي البصري والمعنوي بالنسبه,1
السهرية حلات بهشام الخلصي وهرة,0
السوائ,1
السوريات بشرفوكبس الظاهر قدران صلن لحتى عليهن هيك خبيث وامثالك يهدك,1
السياسين وينهم,0
السيح الدجاج,0
السيدة الفاضلة سيدات البلدان الشرقية الاسلاميه يكونوا يخمموا الطموح هداه,0
السيدة الفاضلة سيدات البلدان الشرقية يكونوا يخموا كيفكهو الطموح عندكهو,0
السيدة تنقص ضيف تكرهو بالحاجات الفارغة والي بسبب وجودك,1
السيدكومات,0
السيده,0
السيطرة,0
الشابات والشبان يتبرعوا وانتوما فالحين اتبرعوا ريتكم وزراء برلمانين,0
الشافي والمعافي القادر,0
الشامل يتحسن يخرجنا الغمة سالمين باقل تارنا,0
الشبوك,1
الشدائد يفتخر فعلا وصاحب,0
الشرطة عدوا,0
الشرطة عدوا جبوه,0
الشرفاء يحميكم ويوفقكم والشعب,0
الشروع تخصيص اجنحة عازلة لمنع المودعين الوافدين الاختلاط بالمودعين الاخرين,0
الشعبوية,0
الشفاعة,1
الشقيق,0
الشكارة,1
الشكارة الهي حشتو بريفاي,0
الشكارة بهاليل,1
الشكروالاحترام التقدير تبذلون الطاقم يشكر فيذكرسيسجل,0
الشكل وعيب فتبا لديمقراطية,1
الشمال تحاليل,0
الشمطاء الضصديق,1
الشمطاء ماسطين,1
الشهر مطيشا,0
الشهلولة الضحاكة قلبها صافي,0
الشهم تقدمون,0
الشويات عملهم فيبالوا يسخايب ربحنا هكاكا وجهوا ومساطت حكاية التعذيب القرجاني غوانتانامو الارهابي مشاولوا وزاروه وحقوق خبشا كاسات,1
الشيء اسقطت اقنعة يختبىء ورائ البعض فظ بان معدن,0
الشيء ماتا اناء يرشح,0
الشيء مئتا,0
ﺍﻟﺸﻴﺐ ﺍﻟﻌﻴﺐ ﻳﻌﻄﻴﻬﺎ ﻃﺮﺷﻴﻘﺔ ﻓﻲ ﺭﺃﺳﻬﺎ,1
الشيشة النضافة,0
الشيوخة,0
الشيوعي والحداثي,1
الشيئ ماتاه,1
الصابرين,0
الصادق الصريح المرخوفين بانواع دفاعك القيم,0
الصادق الصريح المرخوفين بانواعهم دفاعك القيم,0
الصافي اذكى,0
الصافي الجزايرين,0
الصافي السعيد الاستماع الاستماع لجميع قمامات جائزة نوبل الخطابة ثقافت ابداع,0
الصافي المسرحية صراحت مواجا,0
الصافي باتم يقولوا,0
الصافي حقائق ذكي نكت بحيث نحترمو اتمنى يتحفنا بكتاب حقائق المافيا,0
الصافي ذكي ولبق النكتة ومثقف ناقد,0
الصافي فاهم المسرحية صراحته مواجاهاته,0
الصافي قوية,0
الصافي متالق,0
الصافي محلاه الجزايريين,0
الصبايحية,0
الصببببررررررر يااااربي يزيه هانا سيبوناا,1
الصبر,0
الصبر مفتاح,0
الصبر يز فدنا,1
الصحافي,1
الصحبي,0
الصحفية الكندية روحت فاتو,0
الصحه,0
الصحه ابدعتبيييب,0
الصحه برسمي عجبني,0
الصراحه باهية وقدامها يوفقها,0
الصعلوكة صلى,1
الصعيب حماية يشدوا الهي شاء,0
الصغار تلعب,0
الصغار تلعبش البرا,0
الصغار والكبار العمر والي امراض نجموش يقاوموا,0
الصغيرة اكتضاض بالنسىبة تنقص انتقال بحكم الطقس خبزتوا,0
الصغيرة رواحها اكتضاض بالنسىبة تنقص انتقال بحكم الطقس منحها خبزتوا,0
الصفات الجميلة جعفور الاخلاق والطيبة يوزع يفتقرها سيايسيين متطفلين الساحة الفنيية والاعلامية,0
الصفاقسية اسيادك ياكلب ياحيون ياڨبوط ياكلب,1
الصفوف الاولى لمواج تفن انتنا الاطارات المتعاقدين بدون جوعتونا مرمدتونا خلصونا,0
الصلاة,0
الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى الصلاة صلى,0
الصلة والجامعات شركات البحث تصنيع اجراء الاختبارات السريرية,0
الصميم الكثير المسؤولية وفقكم,0
الصنطوعة التافهة,1
الصوت,0
الصوت اميمة,0
الصوت اميمة كروان,0
الصوت ميخدمش,0
الضحكة,0
الضغط,0
الضيف الشيحاني خبير التنمية الهذاتية,0
الضيف بالحاج الخبير,0
الضيوف متكلفة قنعك الجراة مطلوبة مبررة شخصيتك قوية اقنعتو,1
الضيوف وشفت فاشلة,1
الطاقة لمجاب نصرا عزيزا القوي والقادر العالمين,0
الطاهر,1
الطاهر استدعاه,1
الطاهر السبان لازمو طاويلة يتبنن تبردولي,1
الطاهر اليسار,1
الطاهر هههههههههههههههه,1
الطاو,1
الطبا الطليان ملقحين شدت,0
الطبا الطليان ملقحين شدتهم,0
الطبقة الكادحة تضحي,0
الطحان,1
الطحان يطعن واختو وعمتو وخالتو,1
الطحانة غلوا الخبزة,1
الطحين,1
الطحين الباجي,1
الطحين بعينيه مثلي,1
الطحين ورخس,1
الطرف,0
الطرق ايقاف انتشار تبين ارتفاع درجات الحرارة تاثير,0
الطريقة وزارة الشؤون الاجتماعية ميساج امشي لعمدة بالمساعدة تخيل الميساج حويجة تطمع,0
الطفلة بكاتني اغلبت المثلين,0
الطفلة مزينها صريحة,0
الطهارة عبادة فاكثروا بعون شدة تزول,0
الطيف,1
الطيف التواصل فكروا توزيع الادوار بالتوفيق,0
الطيف الجهوي بالكاف ولى اسمو مستشفى اسرة طبة الوضعية خطيرة,0
الطيف الهي ويني الوزارات ماسمعناش حلول الهي ماتلقى لحظة ينجمو,0
الطيف بمتياز,0
الطيف حماة نمروا اقويكم شاء نخرجوا باخف,0
الطيف سنمكن مرضى دواء كلوروكين,0
الطيف سيقع الاعلان يوميا نتائج محد الهيل,0
الطيف شرفت كبرت الفخفاخ يحميكم يعطيكم الصبر القواة,0
الطيف عملوا فلن ينالوا النهضه ورجالها بنيان اساس متين النهضه لمعلوم لسياس واش بذلك,0
الطيف مرضى وسنجح,0
الطيف مكالمة لمساعدة النفسبة,0
الطيف منين تشب,0
الطيف ندعموا وداتكم القاو ضعاف تسد رمق حهذاري الجياع,0
الطيف نرمال تقدم واحنا ماشين ونوخرو,0
الظاهر قحاب,1
الظحكة يستبهل مانجح يعطينا دروس فالدين وكلعادة الكرسي وبهيم ضحكتنا خوذ روس الفكارن,1
الظرف الظرف والزمان,0
الظرف بالهذات يجعلنا نعيد الحسابات فالاولوية لصحةثم التعليم,0
الظهور وسائل وقدم البارحة الاحترام,1
العااااااااااار يااااااااا بهاااااااااايم كردونة بهايم كردونة تففففففففوووووووووههههههه,1
العاااااااار,1
العااااار,1
العااار,1
العادة شاء الهما الشد,0
العافن,1
العافية كيما فرحت يفرحكهو عجبتني منى عجبني كيما منى,0
العافية كيما فرحتها يفرحك عجبتني منى عجبني تعلقها بامها يخليهالها كيما منى,0
العاقبة لجميع الوليات,0
العالمين,0
العالمين اجمعين,0
العالمين ثقتنا وفيكم الانتصار الانتصار رحيم حنون سينجينا,0
العالمين ثقتنا وفيكم ينصركم اصعب الظرف,0
العالي,0
العامل اخلاص ينتظرون خيرات الاخرة يستحقون مؤمن اجعلنا المؤمنين الصادقين,0
العامل اموت,0
العاهرة,1
العاهرة تشتغل,1
العاهرة تمثلني نساء الشريفات ناكد الشرفات يسترناا اخرة,1
العاهرة طحان بايع شرفك عديم تفووووووه الطحانة,1
العاهرة ياكلب,1
العاهره صهيوني,1
العائلة الحذر,0
العائلة لشراء الهاوازم الحذر,0
العبد,0
العبد العبد لفتة مستشفى,0
العبد العبد يعونكم شاء,0
العبيثه بسم,1
العراء والقراء وقلة,1
العرضي بالمائ العرضي لتحك الاصلاحا,1
العرفان بالجميل اتبين جليا انكهواقف وقفت جينيرال اسد متميز ميداني ثابت قراراتك مؤاخهذات لطيفة حينما توليت حقيبة الوزارية تبلي الحسن بالكيفية مضايقات ديدات المسؤولية البلد امانة عظيمة مؤاخهذات لطيفة حينما تصريحاتك اقوى اسلحة,0
العروسات الاسواق,0
العرى الكلسون للرمضان,1
العزم تاتي العزائم,0
العزيمة تصنع المستحيل,0
العشق,0
العصبة,1
العصبة بعاثتهالي نجي,1
العصبة بياع الشراب,1
العطا تنقص الجملة توقعو العطا لحومت يبيع لاحبا اتطي ياغر العطارة اتصالي,1
العطاية,1
العظمى الشوارع والتحضر,0
العفسة,0
العفن متاكم الغبن لفده لبساله مييوعه قتلوا الشراب منافع يعطيكم عزاء,1
العفو والعافية الاخوة والاخوات العاملين بالقناة,0
العقاد كذاااااااااب,1
العقارات طحتو حالات,0
العقول الراقية,0
العقول الراقية تنطق الكلمات,0
العلفة نكسرو روسنا غيرو فضلات هالوقت فرضهم يوتوب ماهم نطفيوهم وماعادش يدورو وقتها ياكلوه يتقدم واحنا بالتوالي جرة اعطيهم الزوالية لقاوها طايحة تبكي بنتها يعملولها عملية طلبوها تكسب ثواب والباقي الزواولة يستاهلو,1
العمالة الخيانة المهزلة والعار الظلم والافتراء البهتان النذالة الخقارة والخسة الفحشاء تزييف التزوير باختصار الباجي الاعيبكم مملة لانها اصبحت مكشوفة عبيد,1
العمري الكبائر امامي راني وقفتك حدك صاحة ايها الجهل,1
العميل الارهابي عصابة,1
العنصرية تيهوما العنصرين ميحبوش يندمجوا,1
العنكبوتة المجرتلة تفييييه,1
العنوان يايس ابتلاء سبحانو تسمو,0
العواقب سليم,0
العون,0
العون العاملين الصحيو,0
العون المسؤولية,0
العون الوالدة,0
العون بواجبك صحتك,0
العون شاء,0
العون نخرجو سالمين شاء,0
العون والى,0
العون وبالتوفيق,0
العونغادي لناالمفيد نكثفو,0
العياذ,1
العيشة,1
الغاء الوساطة وزارة المصالح والحرفاء,0
الغاء صلات الصلوات الخمسة,0
الغالب سقم سبحانو غذبان,0
الغالي,1
الغالي نحبك راني يدوم الضحكة المزيانة وانشاء مشرفنا,0
الغالية,0
الغت الرحلات,0
الغرفة لاصحاب المخابز تسجيل اضطراب المخابز,0
الغزالة لجابتلكم ونة كحة,0
الغناي الصوت,0
الغناية باهيا عصبة بشرة,1
الغناية نجلاء مفهومة لبستها فى ويلبسو كيفهاوعادى الغناية حالها وربى يهدى,1
الفاجرات اهل,1
الفاسق الداعر,1
الفاسقة,1
الفاصل امسط,1
الفاضل يكثر,0
الفة,0
الفة المقايس صويت اروع والي خفة كيما تمرجونا,0
الفة تحمل,0
الفة جديدك رانا,0
الفة جديدك رانا نستنوو,0
الفة رمصان ابدعت,0
الفة وحضور,0
الفتاح,0
الفتاح فايقل,0
الفتاح فايقلها,0
الفتاح كبيييير والسانو يغزل لحرير,0
الفتاح كﻻمك موزون بﻻسطوا سايس,0
الفتاح مورو,0
الفتاح مورو اعتزو اتشرف,0
الفتاح مورو الهي حزب كلاموا منطقي,0
الفتاح مورو بسراحة كلمه,0
الفتاح مورو بسراحة كلمه هكىى,0
الفتاح مورو ثقافة اصالة ولازم احترامه وعيب نبيعو ونشرو العلماء,0
الفتاح مورو ثقافة اصالة ولازم وعيب نبيعو ونشرو العلماء,0
الفتاح مورو حزب كلاموا منطقي,0
الفتاح مورو رويبيضة,1
الفتاح مورو يمتاز بالفصاحة سرعة البديهة الوضوح تصزيحات,0
الفتاح مورو يمتاز بالفصاحة سرعة البديهة الوضوح تصزيحاته,0
الفتاح نحبوكهو نحترموك,0
الفتاح نحترموك,0
الفتاح والسانو يغزل لحرير,0
الفتاح يستا الطيارة,0
الفجار ياحسرة مسلسﻻت,1
الفجعة ولى يڨرمش الثوم كالفستق,0
الفحش شاء تطهر,1
الفخامة باتم,0
الفخر والاعتزاز,0
الفخفاخ,0
الفخفاخ نسيطرو مانيش معاون خالي,0
الفديو الكميون فالسميد ولعباد بالشكار,0
الفرق الاسد والضبع,0
الفرق بينك الحطبة,1
الفرنسية,1
الفريق الفريق لاني سارحل ويبقى ثروة كطبيب,0
الفريق الفريق لاني سارحل ويبقى لانهم ثروة كطبيب,0
الفريق المناظل الهي مثيل اكمل النحو الموقف الراقدين العكر,0
الفريق مسنود بشعب اعانكم,0
الفسق مقاطعتها الفجور محاشتيش,1
الفصدة,1
الفضح,1
الفضح اشلكو الفضح ايها الابله,1
ﺍﻟﻔﻀﻴﻞ ﺍﻟﻄﺤﺎﻧﺔ ﻟﻲ ﻛﻴﻔﻚ ﻏﻠﻮﺍ ﻋﻠﻴﻨﺎ ﺍﻟﺨﺒﺰﺓ ﺗﻔﻮﻩ,1
الفقراء وتعبد,1
الفكاهة,0
الفكرة وحدو,0
الفكرية الغوية,1
الفكرية اللغوية,1
الفلق,1
الفوري التحسين,0
الفيسبوك مانذكرش قالتلي ارواح تنيكني الزب الجزايري ارواح نروحو لفندق ونعملك تبغي بردني قلتلها مانزنيش,1
الفيستا مورو,1
الفين لباقي,0
الڤرده احلل السياسه,1
الڤرده السياسه,1
القابسي لمسخ يستهزئ بسيده المرزوقي نقله امسط,1
القانونية,0
الڨاوري تركيبة اخرئ,0
القائد,0
القائد التواضع قائد,0
القائد الرائد فعلا مدرسة,0
القائد المرؤوسين,0
القائد بالاقصاء القائد يستمع استثناء القائد يحمي سائر اعضاء الجسد,0
القائد بالاقصاء القائد يستمع استثناء القائد يسهر يحمي سائر اعضاء الجسد,0
القح,1
القح القح,1
القح بالقحب,1
القح لشار,1
القحا,1
القحا اتفو القحا,1
القحا البوز,1
القحا تواف,1
القحاب,1
القحب,1
القحب احلي الاربع واقتلو لاخت القحا الارضية,1
القحب الاقطاعي القحب المنيوك القحبا القحبة,1
القحب القحا القحب,1
القحب القحب,1
القحب القحب القحبة,1
القحب القحبة,1
القحب الميبون,1
القحب الهقي,1
القحب زب,1
القحب زبي,1
القحب زكامك,1
القحب شماتا,1
القحب طحا,1
القحب طحان,1
القحب عتبة,1
القحب ماشبعوهش يقلدون نساهم المترجلات,1
القحب ميبو الرخيص,1
القحب ميبو قحب طحان,1
القحب ميبو لفرنسي ميبو,1
القحب والوسخ,1
القحب ياقحب,1
القحب ياقحب الجزائرين,1
القحبات,1
القحبة,1
القحبة الرجولة اتوى انجي انيكلك القحبة,1
القحبة العزوزة القري العطاي القحبة مخنثين,1
القحبة القحاب,1
القحبة جبدلك الميبونة ميبون تحكى ميبون نيكلك واختك وعرش واسمى مخبى صرمك ماتحب باهى,1
القحبة راضي واختك وبنتك وكرامتها مداس,1
القحبة شاهدت تعليقي حتشون,1
القحبة شدخلك مرخس صرم,1
القحبة قلى ساعتين اى نقطة فالارض نوريك تحكى,1
القحبة مشهورة,1
القحبة ميبون العورة وناقصة ونجسة الاسود والحمار والغائط الخرى تبطل الصلاة وشهادتها وعقيقتها عقيقة وديتها وميراثها ميراث والقران امر بضربها والزواج بثلاثة ضراير الرخيصة,1
القحبة نضحكو,1
القحبة وناقصة ونجسة الاسود والحمار,1
القحبه,1
القخاب وقحبة,0
القدرة منافسة شركات عملاقة المشاريع الطاقية المائية افتكاك صفقات انغولا السعودية العراق المكسيك,0
القذافي رحمه نعتكم بالشعب الغبي كقدوة,1
القرارات المجلس توقيا,0
القراصنة ستولى,0
القران الكريم والرسول صلى اخبرنا علاج,0
القراني,1
القراني باله,1
القروي واخ,0
القروي وميحبش الاستقرار صفة تخذير,0
القصيد فالخروج المسؤولية الادراك بان سيؤدي بحياة الاخرين عونا,0
القطاء القحبة صرم واختك,1
القطاع القطاع يصور ميخمش ويكلت عشوا,0
القطعي لبش التجمعي لابعا,1
القلائل,0
القلائل المحترمين اغانيه مبتذلة,0
القناعة باهية,0
القنوات,0
القوابسية,1
القوبلا الاستعمال,0
القيامة خلوف,1
القيت بيه هالمخلوق اتوب مايزيد العمر يتمهمش,1
القيت ننعت بيه هالمخلوق اتوب مايزيد العمر يتمهمش تفووووووووووووووووووووه,1
الكازي,1
الكائن الفضائي,1
الكائن باغانيه الهابطة كيما الصغار يغنيو مزاطيل,1
الكباريات وسكر نخوة اخمو المادة,0
الكتابة المصاحبة,0
الكتب مسطك العاهرة يحتاج كتب قالولها شنيا قالتلهم انسجام المغني الكليب تشطح لابسة لبسة فاضحة يحتاج كتب نفهموه المشكلة المشكلة تكرزت,1
الكراهب الادارية بالاف المرات اسرة اتثيرو,0
الكرايا هادة خلص صندوق الضمان فالسة بصغار يعاونها هاي انانية,0
الكرة الارضية,0
الكرة الشهاري شعملنا,0
الكرني,0
الكرونا حظر تستنى,0
الكرونة,0
الكرونة قعدنا مشروع سبيطار قفصة,0
الكريم,0
الكريم التواضع دامت لغيرك اليك فبارك واتقن,0
الكريم التواضع دامت لغيرك فبارك واتقن,0
الكريم الهجمة الشرسة يقود ضدك صدقك واخلاصك لوطن والشعب امضي فانتم تلتفت لنباح,0
الكريم ثقتنا كبرى ادارة يدرس يفق الكثيرون الظن والدعاء ولكل العامل معكم,0
الكريم جمة الشرسة يقود ضدك صدقكهواخلاصك لوطن والشعب امضي فانتم تلتفت لنباح,0
الكريم حسابك,0
الكريم كفيت نفتخر تحياتي واشواقي وتقديري لشخصكم الوفئ,0
الكزى تعملولو قيمة وتجيبوه,1
الكشافة قامت بعمل بمكتب بريد زرمدين,0
الكشف سمعنا المئات يوميا,0
الكفاءات يترك المجال لسماسرة الراكبون الاحداث,0
الكفائات واصحاب الضمير,0
الكفرة اتبعو فجرة,1
الكفرة والمتميز وسياسة ياهودية,1
الكﻻم قردان تحيك,0
الكﻻم قردان تحييك,0
الكلبة,1
الكلكم البﻻتوات تحكوا زعمة غﻻء المعيشة والبطالة تضربو,1
الكلكم رخااااص,1
الكلمات الرائعة,0
الكلنا شاكين اتهني,0
الكلنا نشجعوك,0
الكلواضحة,0
الكلوركين افرق يتحملو,0
الكلوشارات الجهال الميبون مستواهم ميفوتش سادسة ابتدائي الفروح المراهقين يعجبهم بهدلت,1
الكماجكم اكماج,1
الكوزوال احصائيا لسكا انفجا اجتماعيوحج الوفاء مقارب,1
الكوميديا,0
الكوميديا النضيفة فى كوميديا اغلبها ايحاءات,0
الكوميديا النضيفة فى كوميديا ايحاءات,0
الكوميديا ماتواتيكش الدرامة,1
الكوميدية للقلب بدون استءذان جعفور,0
الكيران معبية,0
اللحاسة حسوش بالظلم تبننوا بظلم يصلي لحية بمجرد الحجاب يعملهم يتعاقب الحاكم الكلها عايشا الحكم كالعبيد حاشيته زوجته ينعمون بالخيرات لديه يومه اليس ابشع الظلم يكتفى بهذا يتحالف اليهود اعداؤنا الازل كتفي القائمة تطول باختصار عميل جبان يعود ستصبح كومة بفضل ستكون شاغلك امشيلو ارقدلو حضنو ميب,1
اللحم,1
